track_name,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
candy,guccihighwaters,cloud rap,0.644,0.595,6.0,-5.824,0.0,0.0371,0.472,0.125,0.31,82.561,156730.0,6.0
cardigan,Taylor Swift,pop,0.613,0.581,0.0,-8.588,0.0,0.0424,0.537,0.25,0.551,130.033,239560.0,0.0
carpool,Zachary Knowles,bedroom soul,0.565,0.612,10.0,-9.167,1.0,0.163,0.457,0.0823,0.522,171.876,164665.0,10.0
cerulean.,Gabriel Cavalcanti,lo-fi brasileiro,0.579,0.0741,5.0,-21.105,1.0,0.0266,0.923,0.0846,0.196,90.073,122667.0,5.0
chance with you,mehro,gen z singer-songwriter,0.562,0.494,4.0,-8.13,0.0,0.0278,0.864,0.153,0.383,144.104,215516.0,4.0
change,The Field Tapes,ambient guitar,0.661,0.259,2.0,-14.413,1.0,0.0351,0.927,0.0603,0.252,93.909,153776.0,2.0
change ur mind,Sarcastic Sounds,lo-fi chill,0.627,0.575,4.0,-7.38,1.0,0.232,0.78,0.336,0.494,78.546,183451.0,4.0
chateau,blackbear,pop,0.665,0.635,11.0,-5.763,0.0,0.0446,0.0516,0.367,0.472,97.974,212927.0,11.0
city,Zachary Knowles,bedroom soul,0.781,0.666,2.0,-5.547,1.0,0.0639,0.00916,0.1,0.561,130.005,141329.0,2.0
closer,Hinshi,lo-fi chill,0.586,0.121,11.0,-18.214,1.0,0.0321,0.92,0.0832,0.173,92.018,115435.0,11.0
clown (with Trevor Daniel),blackbear,pop,0.709,0.774,10.0,-4.797,1.0,0.069,0.12,0.208,0.393,94.013,148165.0,10.0
colorblind,Mokita,chill pop,0.661,0.776,8.0,-5.054,1.0,0.0366,0.125,0.119,0.17,145.993,193977.0,8.0
comethru,Jeremy Zucker,alt z,0.795,0.178,0.0,-11.991,1.0,0.0574,0.607,0.623,0.608,93.982,181613.0,0.0
companion,hi jude,lo-fi study,0.547,0.377,11.0,-15.64,1.0,0.0362,0.68,0.0703,0.0537,80.032,138000.0,11.0
could you love me while i hate myself,Zeph,gen z singer-songwriter,0.68,0.406,9.0,-11.313,1.0,0.0414,0.782,0.11,0.551,119.901,60333.0,9.0
courage,Ruel,alt z,0.589,0.446,7.0,-5.501,1.0,0.0285,0.0263,0.0869,0.292,81.983,209827.0,7.0
cozy blanket,kairos,lo-fi sleep,0.357,0.0675,2.0,-22.515,1.0,0.0342,0.979,0.06,0.125,130.047,138462.0,2.0
crash,EDEN,indie poptimism,0.503,0.212,0.0,-12.735,0.0,0.0658,0.872,0.12,0.185,118.492,232412.0,0.0
curve me,clide,singer-songwriter pop,0.654,0.535,9.0,-6.345,1.0,0.299,0.272,0.0594,0.828,93.786,166795.0,9.0
dancing in the kitchen,LANY,la pop,0.646,0.736,11.0,-7.658,1.0,0.0396,0.0334,0.0807,0.28,94.024,208809.0,11.0
dark times,Ben Platt,broadway,0.349,0.206,0.0,-10.106,1.0,0.0349,0.69,0.154,0.219,64.247,246043.0,0.0
daylight,mj apanay,bedroom r&b,0.591,0.646,8.0,-7.367,1.0,0.27,0.408,0.163,0.594,160.632,147840.0,8.0
deadroses,blackbear,pop,0.612,0.536,10.0,-6.537,0.0,0.157,0.697,0.131,0.603,132.251,184636.0,10.0
"dear me,",Gentle Bones,singaporean pop,0.629,0.459,11.0,-8.846,1.0,0.0303,0.38,0.205,0.435,138.059,165968.0,11.0
death bed (coffee for your head),Powfu,sad lo-fi,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.696,0.348,144.026,173333.0,8.0
deja vu,Olivia Rodrigo,pop,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,0.37,0.178,180.917,215507.0,2.0
detest me,glaive,glitchcore,0.485,0.681,7.0,-2.22,1.0,0.0621,0.0316,0.135,0.514,147.853,118931.0,7.0
didya think,Arlie,modern rock,0.468,0.89,4.0,-2.974,1.0,0.0701,0.00415,0.508,0.709,140.265,200467.0,4.0
die first - sped up version,Nessa Barrett,social media pop,0.604,0.671,4.0,-6.319,0.0,0.0617,0.117,0.483,0.38,110.343,144875.0,4.0
dirty laundry,blackbear,pop,0.766,0.64,0.0,-8.899,1.0,0.0345,0.051,0.237,0.67,100.044,165600.0,0.0
dirty laundry - slowed,blackbear,pop,0.788,0.664,5.0,-6.633,0.0,0.0427,0.0775,0.252,0.547,96.024,167369.0,5.0
distance,Long Shot Party,j-poprock,0.462,0.955,2.0,-3.264,1.0,0.0897,0.04,0.361,0.535,99.031,187347.0,2.0
distance,Ruel,alt z,0.562,0.329,3.0,-8.556,0.0,0.162,0.502,0.562,0.502,148.524,179213.0,3.0
do re mi,blackbear,pop,0.745,0.593,8.0,-6.35,1.0,0.0524,0.00522,0.123,0.17,111.001,212027.0,8.0
do re mi - Good Intent Remix,blackbear,pop,0.793,0.615,10.0,-5.044,0.0,0.0616,0.442,0.0928,0.332,110.978,196216.0,10.0
do re mi - Rad Cat Remix,blackbear,pop,0.754,0.433,1.0,-7.704,1.0,0.0637,0.216,0.0936,0.339,109.954,226909.0,1.0
do re mi - Y2K Remix,blackbear,pop,0.723,0.626,10.0,-6.041,0.0,0.0447,0.131,0.11,0.238,112.074,165250.0,10.0
dooriyan,Zaeden,desi pop,0.735,0.593,11.0,-7.473,1.0,0.0885,0.731,0.135,0.475,160.07,161625.0,11.0
double take,dhruv,nyc pop,0.656,0.436,8.0,-11.141,1.0,0.0744,0.845,0.221,0.196,109.239,171743.0,8.0
down,Mokita,chill pop,0.524,0.391,4.0,-9.021,1.0,0.041,0.789,0.0869,0.143,148.009,194680.0,4.0
dream girl,8percent,aesthetic rap,0.795,0.385,7.0,-13.526,0.0,0.329,0.851,0.234,0.55,109.996,87409.0,7.0
dreamin abt u,mj apanay,bedroom r&b,0.642,0.25,4.0,-9.954,1.0,0.0555,0.81,0.248,0.76,119.654,263317.0,4.0
dreamy,Linearwave,anime lo-fi,0.716,0.186,8.0,-15.668,1.0,0.0542,0.992,0.372,0.0363,115.067,117913.0,8.0
drivers license,Olivia Rodrigo,pop,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,0.106,0.137,143.875,242013.0,10.0
dropout,brakence,glitchcore,0.699,0.322,1.0,-11.429,1.0,0.0634,0.214,0.0993,0.757,140.875,166809.0,1.0
drugs,EDEN,indie poptimism,0.484,0.444,4.0,-6.935,0.0,0.0636,0.601,0.238,0.226,144.21,338333.0,4.0
